what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1342569606511
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1342569606521
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1342569606706
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1342569607051
error,log,,,"Failed to load properties file for project 'Application2'",1342569607224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342569607364
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1342569608406
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1342569608552
error,log,,,"java.util.LinkedHashMap.eldest()Ljava/util/Map$Entry;",1342569614183
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342569615469
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342569615739
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342569702870
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342569703018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1342569766097
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1342569856741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342570077189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342570077346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342570133086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342570163542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1342570189301
